,rank,scenario,tags
0,1,have iced lemonade?,"['beverage', 'sour', 'fruity']"
1,2,have a Reese's Cup,"['candy', 'chocolate', 'peanut']"
2,3,have a smoothie,"['beverage', 'sweet', 'fruity', 'cold']"
3,4,have a dessert crepe with sugar and fruit,"['sweet', 'hot', 'fruity', 'french']"
4,5,have a dessert waffle with sugar and fruit,"['sweet', 'hot', 'fruity']"
5,6,have Sour Patch Kids,"['candy', 'sour', 'fruity', 'chewy']"
6,7,have a slice of vanilla cake,"['sweet', 'hot', 'fluffy']"
7,8,have a handful of chocolate chips,"['sweet', 'chocolate', 'strange']"
8,9,have a fruit popsicle,"['popsicle', 'sweet', 'fruity', 'cold']"
9,10,have a dessert waffle with chocolate syrup,"['sweet', 'hot', 'chocolate']"
10,11,have Skittles,"['candy', 'sour', 'fruity', 'chewy']"
11,12,have a dessert crepe with chocolate syrup,"['sweet', 'hot', 'chocolate', 'french']"
12,13,have a brownie,"['sweet', 'chocolate', 'rich', 'hot']"
13,14,have gelato,"['sweet', 'fruity', 'cold']"
14,15,have gummy bears,"['candy', 'sweet', 'fruity', 'chewy']"
15,16,have vanilla ice cream,"['sweet', 'vanilla', 'cold']"
16,17,have a soda,"['beverage', 'sweet', 'cold']"
17,18,have a cup of hot chocolate,"['beverage', 'sweet', 'chocolate', 'hot']"
18,19,have chocolate ice cream,"['sweet', 'chocolate', 'cold']"
19,20,have a chocolate popsicle,"['popsicle', 'sweet', 'chocolate', 'cold']"
20,21,have a slice of chocolate cake,"['sweet', 'chocolate', 'fluffy', 'hot']"
21,22,have a bowl of strawberries,"['sour', 'fruity']"
22,23,have a Snickers,"['candy', 'chocolate', 'peanut', 'chewy']"
23,24,have a Butterfinger,"['candy', 'chocolate', 'peanut', 'crunchy']"
